90	1	4 5 6 7 8 9 10
17	2	(6,17) (6,18) (7,17) (7,18)
104	2	(8,15) (8,16)
81	2	(6,15) (6,16) (7,15) (7,16)
57	2	(6,13) (6,14) (7,13) (7,14)
107	2	(6,15) (6,16) (7,15) (7,16)
80	2	(8,17) (8,18)
121	3	(6,13,20) (6,13,21) (6,14,20) (6,14,21) (7,13,20) (7,13,21) (7,14,20) (7,14,21)
62	2	(8,19)
21	2	(6,15) (6,16) (7,15) (7,16)
109	2	(6,15) (6,16) (7,15) (7,16)
47	2	(6,15) (6,16) (7,15) (7,16)
113	2	(6,15) (6,16) (7,15) (7,16)
21	2	(6,15) (6,16) (7,15) (7,16)
8	2	(6,17) (6,18) (7,17) (7,18)
37	1	8
9	2	(8,15) (8,16)
34	2	(8,17) (8,18)
70	2	(6,19) (6,19) (7,19) (7,19)
118	2	(4,13) (4,14) (5,13) (5,14)
30	1	9 10
40	2	(6,13) (6,14) (7,13) (7,14)
65	2	(6,15) (6,16) (7,15) (7,16)
108	2	(4,15) (4,16) (5,15) (5,16)
15	2	(1,11) (1,12)
27	2	(4,11) (4,12) (5,11) (5,12)
86	1	8
135	2	(6,15) (6,16) (7,15) (7,16)
125	2	(8,17) (8,18)
94	2	(6,15) (6,16) (7,15) (7,16)
97	2	(6,17) (6,18) (7,17) (7,18)
18	2	(8,17) (8,18)
84	1	11 12
41	2	(6,15) (6,16) (7,15) (7,16)
93	2	(6,15) (6,16) (7,15) (7,16)
12	2	(8,19)
91	2	(9,20) (9,21) (10,20) (10,21)
106	1	8
58	2	(4,15) (4,16) (5,15) (5,16)
68	2	(6,13) (6,14) (7,13) (7,14)
13	1	11 12
54	2	(11,20) (11,21) (12,20) (12,21)
122	1	11 12
117	2	(6,15) (6,16) (7,15) (7,16)
47	2	(8,19)
55	2	(6,15) (6,16) (7,15) (7,16)
101	1	15 16
