4	1	11
5	1	7
7	1	9
10	1	10
13	1	6
15	1	9
20	1	10
21	1	6
23	1	10
28	1	10
33	1	4
45	1	7
51	1	11
54	1	10
56	1	9
58	1	5
60	1	10
67	1	19
71	1	13
74	1	15
89	1	9
96	1	13
97	1	15
101	1	12
102	1	7
103	1	11
104	1	10
105	1	13
106	1	21
108	1	12
109	1	8
110	1	10
111	1	8
119	1	8
121	1	10
125	1	7
126	1	12
3	2	(6,17)
6	2	(8,18)
8	2	(8,16)
9	2	(6,14)
12	2	(8,18)
14	2	(10,20)
16	2	(5,12)
17	2	(4,12)
18	2	(5,16)
19	2	(4,16)
22	2	(6,19)
24	2	(8,15)
25	2	(6,15)
26	2	(6,15)
27	2	(6,15)
29	2	(5,13)
30	2	(10,18)
31	2	(5,20)
32	2	(8,16)
34	2	(5,12)
35	2	(11,18)
37	2	(5,16)
38	2	(6,16)
41	2	(5,16)
42	2	(5,14)
43	2	(4,13)
44	2	(4,12)
46	2	(5,17)
47	2	(7,20)
48	2	(4,12)
49	2	(5,13)
50	2	(5,15)
52	2	(6,18)
53	2	(7,19)
55	2	(7,14)
57	2	(4,12)
63	2	(3,17)
64	2	(3,17)
65	2	(3,12)
66	2	(3,12)
68	2	(3,17)
69	2	(3,17)
70	2	(4,16)
72	2	(3,17)
75	2	(6,18)
76	2	(7,15)
77	2	(8,17)
78	2	(6,14)
79	2	(6,14)
80	2	(4,13)
81	2	(6,14)
82	2	(6,14)
83	2	(7,15)
84	2	(7,15)
85	2	(3,11)
86	2	(6,14)
87	2	(8,18)
88	2	(6,14)
90	2	(8,18)
91	2	(6,21)
92	2	(7,15)
93	2	(4,15)
94	2	(6,16)
95	2	(12,21)
98	2	(4,12)
100	2	(5,16)
107	2	(5,13)
112	2	(7,17)
113	2	(4,13)
114	2	(7,14)
115	2	(5,13)
116	2	(5,13)
117	2	(4,20)
118	2	(13,21)
120	2	(3,13)
122	2	(8,18)
123	2	(6,19)
124	2	(5,16)
1	3	(7,14,21)
2	3	(4,12,16)
11	3	(4,13,19)
36	3	(6,13,20)
39	3	(2,9,19)
40	3	(2,9,14)
59	3	(1,9,18)
61	3	(3,12,20)
62	3	(3,12,20)
73	3	(2,13,19)
99	3	(2,9,16)
