1	1	13		
2	2	5	16	
3	1	18		
4	1	13		
5	2	6	18	
6	1	9		
7	2	7	18	
8	2	8	19	
9	2	5	16	
10	3	4	12	20
11	2	8	19	
12	2	10	18	
13	1	11		
14	2	8	16	
15	2	2	12	
16	2	4	15	
17	2	4	14	
18	2	5	18	
19	2	7	16	
20	1	7		
21	2	2	11	
22	3	3	11	20
23	1	9		
24	2	9	21	
25	2	4	16	
26	2	5	14	
27	2	5	13	
28	1	12		
29	2	2	11	
30	1	9		
31	2	5	10	
32	2	5	14	
33	1	11		
34	2	9	17	
35	2	3	13	
36	2	4	15	
37	1	8		
38	3	1	8	19
39	2	5	15	
40	2	4	13	
41	2	9	17	
42	1	10		
43	2	7	18	
44	1	6		
45	2	5	18	
46	1	21		
47	2	7	14	
48	2	7	14	
49	2	7	15	
50	1	7		
51	1	11		
52	2	7	18	
53	2	3	16	
54	2	9	18	
55	2	5	15	
56	1	13		
57	2	6	17	
58	2	7	17	
59	2	8	18	
60	3	2	10	17
61	3	3	12	17
62	2	7	18	
63	2	6	18	
64	2	6	17	
65	2	5	14	
66	2	5	15	
67	2	5	17	
68	2	5	13	
69	2	3	13	
70	2	7	18	
71	1	10		
72	2	5	15	
73	2	4	14	
74	3	2	9	15
75	2	8	19	
76	1	10		
77	2	6	19	
78	1	10		
79	2	6	18	
80	2	4	14	
81	2	4	13	
82	1	6		
83	3	2	8	16
84	1	11		
85	2	3	11	
86	1	6		
87	3	4	12	21
88	2	4	12	
89	3	3	10	8
90	1	12		
91	2	6	13	
92	2	6	15	
93	2	4	13	
94	2	4	13	
95	2	4	13	
96	2	6	13	
97	2	6	13	
98	2	6	19	
99	2	4	19	
100	1	11		
101	1	14		
102	2	9	21	
103	2	6	18	
104	2	6	15	
105	2	8	17	
106	1	10		
107	2	7	14	
108	2	3	13	
109	2	5	14	
110	2	3	12	
111	2	3	16	
112	2	5	16	
113	2	7	15	
114	2	7	15	
115	2	5	17	
116	2	8	16	
117	2	7	18	
118	2	7	19	
119	1	10		
120	2	9	18	
121	3	2	12	20
122	1	10		
123	1	6		
124	1	9		
125	2	7	17	
126	1	10		
127	2	5	14	
128	2	4	3	
129	1	15		
130	1	9		
131	2	3	14	
132	1	12		
133	2	3	18	
134	2	4	18	
135	2	4	13	
136	3	2	10	
137	2	5	14	
138	2	6	15	
139	1	10		
