39	40	59	99															
61	62	63	64	65	69	72	85	120										
11	44	66	68	73	93	113												
17	19	31	34	43	48	50	70	80	100	115	117	124						
2	16	18	29	37	41	49	57	78	91	98	107	116						
9	22	25	38	42	46	53	79	81	82	86	88	94	123					
3	6	24	26	27	36	47	52	55	75	76								
1	8	32	40	83	84	92	99	112	114									
12	39	59	77	87	90	122												
14	35																	
16	30	34	61	62	65	85	95											
2	17	44	45	48	49	66	67	107	108	109	110	111	115	116				
9	10	11	43	57	58	73	79	80	82	86	98	113	118	120	121			
1	24	25	29	36	40	42	50	51	76	78	88	89	114					
19	20	21	26	27	28	38	55	56	81	83	92	93						
8	18	37	41	70	71	84	94	99	100	101	102	103	104	105	106	124	125	126
2	3	4	5	32	33	59	60	63	64	69	72							
6	7	30	35	39	46	53	54	68	73	74	75	77	112					
12	13	31	52	61	87	90	117	122										
11	22	23	62	118	119	123												
1	14	15	36	47	91	95	96	97										
