15	29	74																		
35	38	53	69	85	89	110	111	128	129	130	31									
22	36	60	73	83	128	133	136													
2	27	39	45	61	66	67	72	87	88	99	112	115	137							
10	16	25	26	31	32	58	79	95	96	103	108	118	127	134						
17	41	43	48	52	57	63	64	70	81	109	113	114	117	121	138					
5	8	21	40	49	55	59	65	68	77	89	90	92	93	94	97	98	105	107	135	
7	9	12	18	19	34	47	62	74	80	104	125									
11	14	24	38	75	83	89	102	116												
29	30	31	85	86	91	120														
22	27	28	60	110	136															
15	35	54	69	87	88	96														
10	40	48	61	73	131	132	137													
26	32	33	36	37	39	57	66	68	72	74	95	114	118	119	121	127				
2	3	4	9	49	50	51	53	58	65	81	82	93	107	109	111	112	113	135	138	139
16	21	41	42	55	56	67	92	94	104	105	106	108	115	117						
8	14	18	19	20	25	34	43	44	45	46	52	59	64	79	80	83	84	103	116	
17	60	61	63	97	125	126	133													
5	6	7	12	13	47	62	70	71	99	100	101	120	134							
11	22	23	38	54	75	76	77	78	91	98										
1	10	24	87	102	121	122	123	124												
